created_at,updated_at,parent_category_id,language_id,name,code
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,2,2,Makanan Bayi,PC00025
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,2,2,Susu Formula,PC00026
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,2,2,Snacks Bayi,PC00027
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,2,2,Botol Bayi,PC00028
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,2,2,Nipple Botol Bayi & Dot,PC00029
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,3,2,Obat-obatan,PC00030
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,3,2,Gel & Losion,PC00031
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,3,2,Alat Kontrasepsi,PC00032
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,3,2,Antiseptik,PC00033
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,3,2,Pita & Perban Medis,PC00034
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,3,2,Vitamin & Suplemen,PC00035
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,3,2,Tes Kehamilan,PC00036
