created_at,updated_at,name,code,description
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,Peraturan Menteri Kesehatan Indonesia,PERMENKESRI,Permenkes No.917 Tahun 1993
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,US Food and Drug Administration,USFDA,General Drug Categories by US FDA
