created_at,updated_at,id,parent_category_id,language_id,name,code
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006983,100000002,1,Pet Agility Equipment,000006983
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006811,100000002,1,Pet Apparel Hangers,000006811
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100500084,100000002,1,Pet Bed Accessories,000500084
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100005092,100000002,1,Pet Bells & Charms,000005092
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006978,100000002,1,Pet Biometric Monitors,000006978
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006980,100006978,1,Pet Glucose Meters,000006980
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006982,100006978,1,Pet Pedometers,000006982
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006981,100006978,1,Pet Thermometers,000006981
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100007143,100000002,1,Pet Bowl Mats,000007143
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100008513,100000002,1,Pet Bowl Stands,000008513
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006252,100000002,1,Pet Bowls,000006252
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100500026,100000002,1,Pet Carrier & Crate Accessories,000500026
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006251,100000002,1,Pet Carriers & Crates,000006251
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006250,100000002,1,Pet Collars & Harnesses,000006250
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100006321,100000002,1,Pet Containment Systems,000006321
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100505811,100000002,1,Pet Door Accessories,000505811
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100004497,100000002,1,Pet Doors,000004497
CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,100008050,100000002,1,Pet Eye Drops & Lubricants,000008050
